row,priority,slug,intent_type,category,country,why,assigned_to,reviewer,status,updated
1,1,airpods-pro-3-price-malaysia,price,airpods pro 3,MY,SG/MY price pages get ChatGPT-User traffic (iphone-16-price-singapore: 257),Wave,Fetch,blocked:country-support,
2,1,airpods-pro-3-price-singapore,price,airpods pro 3,SG,SG/MY price pages get ChatGPT-User traffic (iphone-16-price-singapore: 257),Buzz,Hue,live,2026-08-25T18:38Z
3,1,airpods-pro-3-vs-airpods-pro-2-singapore,vs,airpods pro 3 vs airpods pro 2,SG,'X vs Y' = #3 ChatGPT page (iphone-16-vs-17: 834 fetches),Surf,Fetch,live,2026-09-01T12:15Z
4,1,airpods-pro-3-vs-airpods-pro-2-us,vs,airpods pro 3 vs airpods pro 2,US,'X vs Y' = #3 ChatGPT page (iphone-16-vs-17: 834 fetches),Venture,Hue,live,2026-09-02T07:30Z
5,1,best-4k-monitors-singapore,best,4k monitors,SG,proven intent family (ChatGPT/Perplexity fetches),Sol,Fetch,live,2026-08-25
6,1,best-4k-monitors-us,best,4k monitors,US,proven intent family (ChatGPT/Perplexity fetches),Wave,Hue,live,2026-08-25
7,1,best-air-purifiers-singapore,best,air purifiers,SG,proven intent family (ChatGPT/Perplexity fetches),Buzz,Fetch,live,2026-08-25T18:38Z
8,1,best-air-purifiers-us,best,air purifiers,US,proven intent family (ChatGPT/Perplexity fetches),Surf,Hue,live,2026-08-25
9,1,best-android-tablets-singapore,best,android tablets,SG,proven intent family (ChatGPT/Perplexity fetches),Venture,Fetch,live,2026-08-25
10,1,best-android-tablets-us,best,android tablets,US,proven intent family (ChatGPT/Perplexity fetches),Sol,Hue,live,2026-08-25
11,1,best-bread-makers-singapore,best,bread makers,SG,proven intent family (ChatGPT/Perplexity fetches),Wave,Fetch,live,2026-08-25
12,1,best-bread-makers-us,best,bread makers,US,proven intent family (ChatGPT/Perplexity fetches),Buzz,Hue,live,2026-08-25T18:38Z
13,1,best-budget-laptops-singapore,best,budget laptops,SG,proven intent family (ChatGPT/Perplexity fetches),Surf,Fetch,live,2026-09-01T12:15Z
