workspace	candidates	estimated_gb
0ed653ab-62ba-4deb-8348-3086ab46961c	0	0.00	rc=1
19dcd635-1d2b-4e41-9950-5865876e12b2	0	0.00	rc=1
2e68d8a0-9b0e-4573-8185-323edaabb186	0	0.00	rc=1
3ec8f6dd-1735-4479-9825-a2c42edac34c	0	0.00	rc=1
4df23039-272b-4621-9d77-7cf9b7121242	0	0.00	rc=1
5bc984ee-e2d2-4312-9e6c-b2864524a21f	0	0.00	rc=1
708a8ce4-96dd-409d-94e7-a91d5032e4e0	0	0.00	rc=1
7fb55262-e658-45e2-88c0-b0e8ccc5ad6c	0	0.00	rc=1
a29ac9dc-cf0a-455b-964c-e75bd2f5fc47	0	0.00	rc=1
bf810416-2f4c-4c4b-b27c-1270ea6f20b3	0	0.00	rc=1
c2850c54-3396-420a-b7c3-92faae3137c1	0	0.00	rc=0
d70ff7b3-e26b-4d23-8e05-bfc5d6f7a342	0	0.00	rc=1
f6a39f3c-210b-479b-a8e7-c78491c120e9	0	0.00	rc=1
